Country Name,LN(IDE),LN(PIB_habitant),LN(PIB_habitant)^2,NOCC,Stabilité politique,LN(PT),Ln(FBCF par habitant),Inflation
Albania,18.19152006,9.746686267,94.99789319,3.979541719,0.106261313,2.85991255,3.660423073,6.725202715
Armenia,16.62416642,9.791783536,95.87902482,4.255138545,-0.740756273,3.072230245,2.157536414,8.64091109
Australia,24.49104773,10.9995263,120.9895787,4.966325241,0.983715951,4.225519013,9.217031438,6.594096713
Austria,23.89326946,11.09136537,123.0183858,7.763965305,0.648710012,4.461415282,9.775549877,8.546869932
Bahrain,23.62923866,10.95893436,120.0982422,12.10338328,-0.362905443,3.859887251,10.61739405,3.625741043
Belgium,23.66905076,11.04562145,122.0057533,7.838077229,0.581981599,4.496582246,9.663999687,9.597511729
Benin,15.39499975,8.185443658,67.00148787,2.533496027,-0.34320268,1.327075001,0.731713973,1.350778636
Bolivia,15.66738898,9.177993552,84.23556564,4.601373795,-0.191908553,2.233235015,5.463732707,1.746328729
Bosnia and Herzegovina,21.78959762,9.866869589,97.35511548,7.223052105,-0.483193696,3.213662258,7.736987438,14.02084408
Botswana,19.47706405,9.833501452,96.69775081,3.62684672,1.073983788,3.200711854,5.908234986,11.66556748
Brazil,24.7791513,9.828443167,96.59829509,4.923309082,-0.395036936,3.017982882,6.460788381,9.28010609
Bulgaria,23.3793026,10.35889042,107.3066108,10.68706183,0.31342864,3.509752788,7.967970507,15.32525893
Burkina Faso,16.04984068,7.810374303,61.00194675,1.17184018,-1.815369368,1.40854497,-0.439995558,14.29023543
Burundi,11.66133008,6.720687066,45.16763464,1.742991782,-1.192446232,-0.083381609,-3.068024506,18.80087867
Cambodia,15.72184519,8.772879549,76.96341558,3.702547484,-0.098023042,1.2753628,-0.625663,5.343702649
Canada,24.45212116,10.96220952,120.1700375,1.536148653,0.780681551,4.186619838,9.241506926,6.802801153
Chile,18.15361206,10.29504309,105.9879123,3.884678607,0.132084325,3.50375397,2.14814812,11.64386671
China,25.0765719,9.95283076,99.05884015,10.69000126,-0.45127672,2.843745917,7.175417789,1.973575557
Colombia,17.24118014,9.821140104,96.45479295,5.722876035,-0.629958332,2.926382195,-0.193941097,10.17723135
Costa Rica,16.75291858,10.12027278,102.4199212,4.321851563,0.956596434,3.286534473,1.872835882,8.274774902
Cote d'Ivoire,16.75242673,8.742180345,76.42571719,15.02040736,-0.587266505,2.055404964,0.927786135,5.276167243
Croatia,23.68015323,10.59232628,112.197376,7.700621165,0.672563255,3.965942847,9.111693531,10.78058068
Cyprus,24.4089772,10.8517123,117.7596598,13.49319331,0.423811227,3.59703825,8.911063003,8.39548298
Czechia,20.85776354,10.78615886,116.3412229,6.960785791,0.814114571,4.008060194,6.351082568,15.10016515
Denmark,22.25487793,11.15867934,124.5161247,13.20203116,0.868917704,4.517103707,7.724167912,7.696566999
Dominican Republic,19.73491322,10.03264519,100.6539695,1.977586598,0.249287635,3.261935314,4.919464743,8.811092093
Ecuador,22.15702727,9.565438351,91.49761086,3.541278327,-0.371224314,2.744703519,7.962399905,3.466169722
"Egypt, Arab Rep.",23.06030401,9.702618496,94.14080568,15.38213413,-0.978700578,3.255786179,5.018871155,13.89566098
El Salvador,17.69462868,9.311896589,86.71141809,2.367655631,-0.352474838,2.430978308,7.783813094,7.198616156
Estonia,22.26113783,10.68398006,114.1474299,11.21244254,0.727880895,3.951436008,9.380274423,19.39826341
Ethiopia,20.07180327,7.884417581,62.16404059,5.698670406,-2.070606232,1.444563269,2.628768014,33.88987971
Finland,23.60474918,10.9578963,120.0754913,16.42121691,0.894830108,4.391605609,9.620552046,7.123507733
France,26.00508877,10.89010768,118.5944452,13.66563452,0.393339217,4.38152651,9.500008218,5.222367484
"Gambia, The",17.71561887,7.959688348,63.3566386,3.890191328,0.043973282,1.690095815,2.702797982,11.51311984
Georgia,22.75293539,9.950682542,99.01608306,10.60222839,-0.436530054,3.183870216,7.258392413,11.89816542
Germany,25.38463183,11.04890717,122.0783497,19.23022994,0.628491879,4.370839289,9.573050455,6.872574386
Ghana,21.16663774,8.814222602,77.69052007,5.143815648,-0.195024788,2.344686269,4.825183309,31.2558951
Greece,23.92155241,10.48777473,109.9934188,15.58570667,0.106463775,3.826029292,8.637984487,9.645259813
Guatemala,20.68535552,9.40533385,88.46030482,3.814341437,-0.262850881,2.702032129,5.568356144,6.885128233
Iceland,15.87376996,11.09078084,123.0054196,6.582085037,1.249699235,4.192529394,4.761854856,8.308755116
India,22.8270996,9.053065186,81.95798926,9.443974847,-0.615027368,2.225704049,3.487221038,6.699034141
Indonesia,16.3969187,9.498094456,90.21379829,7.577062861,-0.553894222,2.646174797,-1.342583853,4.209463834
"Iran, Islamic Rep.",11.13701469,9.637653918,92.88437304,2.195458305,-1.625612378,3.176385773,-4.245803443,43.48846417
Israel,22.38668128,10.78302406,116.2736079,7.571072552,-1.228965402,4.100823528,8.186236305,4.393596659
Italy,25.67748351,10.86296203,118.0039441,14.14933267,0.466298223,4.314817885,9.393659281,8.201289912
Japan,20.276325,10.71375581,114.7845636,7.531854232,1.032637239,3.961765097,4.486241735,2.497702782
Kazakhstan,18.39827843,10.41948761,108.5657221,9.416936598,-0.468353838,3.563599638,2.77947044,15.02786444
Kenya,17.63350737,8.610992008,74.14918337,10.39375131,-0.947280884,1.930071085,2.159717481,7.659862683
"Korea, Rep.",17.62288393,10.80698669,116.7909613,7.427101997,0.579976737,3.830596007,2.509312016,5.089513651
Kuwait,22.10335834,10.83927307,117.4898407,4.740982186,0.291892022,3.574870538,10.19336634,3.98064962
Kyrgyz Republic,15.91002359,8.722543918,76.08277239,3.949481034,-0.471610427,2.080690761,2.752117987,13.92290932
Latvia,22.21410144,10.53611524,111.0097244,10.3725533,0.486409128,3.774827766,9.118790713,17.31028302
Lebanon,12.15589043,9.347904299,87.38331479,4.763538117,-1.422575474,2.77695418,-5.269157263,171.2054913
Lithuania,22.89743712,10.74955228,115.5528742,12.65310521,0.653032541,3.958715733,9.308690595,19.70504615
Madagascar,14.01128868,7.391791751,54.63858529,6.415880516,-0.480796605,0.604315967,-2.497042686,8.16059032
Malaysia,23.96036309,10.37596161,107.6605794,7.103984323,0.163117811,3.34462703,7.190929433,3.378698625
Malta,24.89606797,10.96140906,120.1524885,16.76165771,0.911014318,4.061821371,9.595926914,6.153756219
Mauritania,19.70668129,8.708352544,75.83540403,4.806003159,-0.516949356,2.667228207,3.887953955,9.525266286
Mauritius,18.16146514,10.11986316,102.4116304,11.68508954,0.830023587,3.29175447,4.709468776,10.77375122
Mexico,22.64829676,9.970278035,99.4064441,1.121236681,-0.689268112,3.09421922,5.474864926,7.896276192
Moldova,19.21002745,9.635028118,92.83376684,5.374404481,-0.659070194,2.399711804,5.205948356,28.73729768
Mongolia,15.8298682,9.636289898,92.85808299,0.820409333,0.529954374,2.802147524,0.373889091,15.14795609
Montenegro,22.50414774,10.1530798,103.0850293,1.861246085,-0.140881479,3.52459426,8.666941292,13.04030363
Morocco,21.07415337,9.06717173,82.21360318,7.714335445,-0.362119138,2.565718293,5.442361557,6.657042028
Namibia,19.63813284,9.205173505,84.73521926,5.576323796,0.55988574,2.725235026,4.622439782,6.081281141
Nepal,15.68080249,8.468714356,71.71912284,1.076963292,-0.239196882,2.190535589,2.435683073,7.650791768
Netherlands,23.89322982,11.17408554,124.8601876,10.06776893,0.726799548,4.511957804,9.639501495,10.00120788
New Zealand,22.43009559,10.80414866,116.7296282,5.831920895,1.321169138,3.91939576,8.976734775,7.17222476
Nicaragua,19.67763733,8.88995351,79.0312734,1.35334214,-0.358511776,2.180417459,3.76953677,10.46742445
North Macedonia,18.69105322,10.03458917,100.6929798,3.678929938,0.180839285,3.432372999,4.538026677,14.20471732
Norway,20.75613217,11.41593974,130.32368,7.035327676,0.861239254,4.79958499,7.527562115,5.764123179
Oman,24.68761032,10.60575448,112.482028,2.7994694,0.532249212,3.616039908,10.07132059,2.506142506
Pakistan,18.48002032,8.617270044,74.25734301,7.84738698,-1.839826345,1.986503546,1.459729293,19.87385996
Panama,23.15861315,10.42919272,108.7680608,10.03086498,0.289221227,3.729781445,9.214815409,2.859651288
Paraguay,13.37659216,9.632934316,92.79342353,3.147212742,0.035549313,2.747270914,-0.726964907,9.765566672
Peru,23.29006622,9.651747209,93.15622419,4.693284375,-0.487095445,2.554899022,6.848296955,8.333706301
Philippines,20.93667208,9.154521479,83.80526351,7.552030445,-0.65526855,2.368372834,3.701982511,5.821158112
Poland,24.62298757,10.67742712,114.00745,7.864284955,0.505146444,3.815952537,7.377095352,14.42945076
Portugal,24.34826844,10.62215167,112.8301062,8.927927804,0.795802593,3.906407267,9.092662183,7.832691242
Romania,23.47412871,10.58011303,111.9387916,11.3064322,0.43113631,3.844600329,7.650159164,13.79548874
Rwanda,14.77064936,7.968971937,63.50451374,2.397442087,0.082752451,1.768149604,-0.372472645,17.68920956
Senegal,17.34993693,8.349421294,69.71283594,4.699835886,-0.157593668,1.806648082,0.879129859,9.696818991
Serbia,19.33323187,10.11099891,102.232299,14.06463961,-0.174069464,3.226050029,3.964903318,11.98151173
Singapore,26.21281116,11.79410341,139.1008752,12.71762585,1.440372348,4.566013471,9.898787454,6.12106004
Slovak Republic,23.53446075,10.56109954,111.5368235,9.682501161,0.445335746,3.813969065,8.982455751,12.77414636
Slovenia,22.56474456,10.75836491,115.7424156,9.655598275,0.709335089,4.037597828,9.292357168,8.833698867
South Africa,21.64734695,9.530769805,90.83557307,8.682936172,-0.681386352,3.113959655,4.774748035,7.039726613
Spain,25.82002311,10.75007987,115.5642173,11.08949072,0.318843424,4.157162855,9.212710833,8.390576341
Sri Lanka,17.57203258,9.49170819,90.09252437,6.242580377,-0.804306805,2.838493497,2.273238892,49.72110211
Sweden,22.66329032,11.05340054,122.1776635,17.25470146,0.910905123,4.438052463,7.374905267,8.369290989
Tanzania,15.49902108,8.173852086,66.81185792,4.946864857,-0.260344118,1.247032294,-0.447098102,4.350272043
Thailand,21.83742103,9.939892937,98.80147161,8.644909475,-0.393339306,2.831447079,4.928696537,6.077412284
Tunisia,21.61652208,9.443991661,89.18897849,4.650450389,-0.594559073,2.927453433,6.576110194,8.306461244
Turkiye,22.77203982,10.39570349,108.070651,17.11776104,-1.032234788,3.645188765,6.357114263,72.30883599
Uganda,15.70538272,7.910189246,62.57109391,4.546950617,-0.711015821,1.088561953,-1.721036631,7.19578886
United Kingdom,25.01692707,10.87508008,118.2673669,13.85940365,0.533176064,4.23483088,9.361302716,7.922048831
United States,26.59920095,11.19604695,125.3514673,13.47790188,0.008700687,4.336636932,9.65306885,8.002799821
Uruguay,19.96706078,10.3378617,106.8713845,5.838764534,1.085829616,3.596215769,4.968717535,9.104379831
Viet Nam,15.84228313,9.467325287,89.6302481,4.809241404,-0.046132095,2.382320061,-1.765789907,3.1565075
Zimbabwe,14.67287323,8.108659961,65.75036636,1.176017877,-0.894974113,1.53686722,-0.009678264,104.7051706
